numeroLicitacao;dataLicitacao;tipoLicitacao;justificativaDispensaLicitacao;origem_arquivo
73/2018;2018-03-20;PregÃ£o Presencial; ;licitacao_00caf62e-d445-499e-80d9-0efc84f8f214.csv
224/2019;2019-08-15;PregÃ£o Presencial; ;licitacao_00e9e428-3e42-4515-8b93-68f5f04b354b.csv
122/2020;2020-06-08;PregÃ£o Presencial; ;licitacao_00ef34a5-c895-4169-afbb-1ca15535a3df.csv
320/2010;2011-02-01;ConcorrÃªncia p/ Obras e Serv. Eng.; ;licitacao_00efda21-4c10-4bd1-9cfe-1f5b8edf3de7.csv
17/2016;2016-10-28;Inexigibilidade c/ Processo; ;licitacao_01050748-677d-4d17-ab97-ca79877f17d5.csv
76/2020;2020-04-13;PregÃ£o Presencial; ;licitacao_01114adc-ba33-42b7-9ad5-2edb006e722c.csv
266/2018;2018-10-03;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_01229e1d-d557-4b7d-811e-78e717da1478.csv
15/2018;2018-07-20;Convite p/ Compras e ServiÃ§os; ;licitacao_01234b6a-8ffd-4c27-bbcf-da7521486737.csv
161/2020;2020-08-04;PregÃ£o Presencial; ;licitacao_013705f3-acab-4c97-bf37-11c05a67e7e6.csv
354/2019;2019-11-26;PregÃ£o Presencial; ;licitacao_014e808c-e1b0-4449-a284-cb60c519ab0e.csv
254/2019;2019-08-13;PregÃ£o Presencial; ;licitacao_01a6a9dd-1c07-4d54-92ba-cb3912ade76f.csv
79/2019;2019-12-10;PregÃ£o Presencial; ;licitacao_01ac7956-6510-4dce-aa0c-1a2860a135cf.csv
106/2019;2019-05-13;PregÃ£o Presencial; ;licitacao_01c00cba-f163-494a-a8bd-714321eb544d.csv
44/2020;2020-06-09;PregÃ£o Presencial; ;licitacao_021b2f43-1a6b-4722-8dcf-b4401763eaa3.csv
148/2012;2012-04-18;Dispensa p/ Compras e ServiÃ§os; ;licitacao_0223162e-b86d-4e6e-a03a-5c575ce0183d.csv
30/2019;2019-05-02;Dispensa p/ Compras e ServiÃ§os; ;licitacao_02273a40-495e-40fc-88d7-c5f3253c7cfe.csv
99/2019;2019-04-09;PregÃ£o Presencial; ;licitacao_023d5c2f-8569-4892-b505-0f9c2eae661e.csv
40/2011;2011-04-19;Dispensa p/ Compras e ServiÃ§os; ;licitacao_024121ad-5ba3-44ca-9716-d8f5b4fc3bf1.csv
56/2019;2019-09-12;PregÃ£o Presencial; ;licitacao_02617859-3240-4d87-b26e-9db19d65dbd7.csv
223/2018;2018-11-09;ConcorrÃªncia p/ Compras e Serv.; ;licitacao_026a3293-2f3e-420c-9501-d407610a5adc.csv
13/2020;2020-12-17;PregÃ£o EletrÃ´nico; ;licitacao_027d416a-0716-4bb1-9033-34b3622ec60e.csv
218/2015;2015-11-19;ConcorrÃªncia p/ Obras e Serv. Eng.; ;licitacao_028de97c-a67b-4c35-9de1-e9b6ffb7c51a.csv
380/2019;2020-02-11;PregÃ£o Presencial; ;licitacao_029fb19b-3c56-4fd0-b12d-ec292eb5079e.csv
62/2020;2020-07-24;PregÃ£o Presencial; ;licitacao_02b25a53-e640-4444-88b4-f9776ff3d787.csv
67/2019;2019-04-30;Tomada de PreÃ§o p/ Comp. e Serv.; ;licitacao_02bc1e0d-e4f1-45b3-bd36-1c0bc5566ddc.csv
95/2018;2018-12-20;PregÃ£o Presencial; ;licitacao_02bfa084-8fdb-4adc-a9fd-209c44301b93.csv
38/2020;2020-04-07;Dispensa p/ Compras e ServiÃ§os; ;licitacao_02d362d9-95eb-4d49-86cf-c986519a1f61.csv
389/2018;2019-01-17;PregÃ£o Presencial; ;licitacao_02d6e71b-1404-4334-ab43-45bae523ea05.csv
66;2019-09-16;Tomada de PreÃ§o; ;licitacao_02d89299-7846-46db-971e-03f78b0fb2a3.csv
85/2018;2018-11-22;PregÃ£o Presencial; ;licitacao_02df212f-668b-4c5c-9d5d-66250e0674c5.csv
62/2019;2019-10-09;PregÃ£o Presencial; ;licitacao_02e3face-aae2-4f66-b1a4-e86b252f6a5e.csv
386/2019;2019-01-14;PregÃ£o Presencial; ;licitacao_02e81a63-b8c9-4aab-8a9e-8c54ff7eb51d.csv
362/2019;2019-12-03;PregÃ£o Presencial; ;licitacao_02fdafe8-a59c-455e-a105-c43477ad6801.csv
117/2020;2020-05-18;PregÃ£o Presencial; ;licitacao_0308ce39-130a-4423-8509-141e49003ba9.csv
276/2019;2019-10-31;PregÃ£o Presencial; ;licitacao_03193822-7f61-48f1-b968-fd41f9e91919.csv
61/2018;2018-04-06;PregÃ£o Presencial; ;licitacao_032a8326-927a-4b4d-8739-b0cfbccd3359.csv
192/2018;2018-07-19;Convite p/ Compras e ServiÃ§os; ;licitacao_032bb2c3-ed4a-456f-831e-d37a2706f2d2.csv
182/2020;2020-09-01;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_03391acd-6cb3-42ae-a94c-95ada69002d4.csv
57/2020;2020-08-07;PregÃ£o Presencial; ;licitacao_033a4297-dd80-4b71-a96f-b1ce2356116b.csv
41/2020;2020-02-21;Convite p/ Compras e ServiÃ§os; ;licitacao_033bbc82-086f-4a0a-be7b-af6100401c3c.csv
21/2019;2019-02-21;Convite p/ Compras e ServiÃ§os; ;licitacao_033ccddb-b8af-4fc7-91c9-0e3938d38422.csv
144/2016;2016-07-20;PregÃ£o Presencial; ;licitacao_037232ef-687d-43e4-b501-99abedebb36d.csv
143/2020;2020-06-18;PregÃ£o Presencial; ;licitacao_03776c27-74fe-4aef-8e80-a2f3e83a1810.csv
84/2019;2020-01-07;PregÃ£o Presencial; ;licitacao_03995872-d52f-40ce-9123-72f34a6f6e00.csv
115/2020;2020-06-01;PregÃ£o Presencial; ;licitacao_03d3d0f5-1af8-40a5-bde5-580a1eeb389d.csv
62/2020;2020-04-01;PregÃ£o Presencial; ;licitacao_03e29806-15a8-4e62-8b92-9ebab544953b.csv
51/2020;2020-05-29;PregÃ£o Presencial; ;licitacao_03e52964-fd39-43bd-9941-4d5d8a1ac1d5.csv
4/2020;2020-01-28;PregÃ£o Presencial; ;licitacao_03f7a968-1018-4617-a3af-0a58ec85487e.csv
328/2019;2019-10-25;PregÃ£o Presencial; ;licitacao_0414093f-17b0-4cbf-b903-4c483d424813.csv
194/2019;2019-06-12;PregÃ£o Presencial; ;licitacao_0415f1ac-ef54-4dce-84cf-c5e9b4320e0d.csv
66/2019;2019-11-04;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_04461f26-aa94-40a4-b4ec-43aa8b3bc09b.csv
78/2019;2019-12-16;PregÃ£o Presencial; ;licitacao_044a687e-70a2-41e0-91ec-1b826a5c452e.csv
88/2020;2020-04-30;PregÃ£o Presencial; ;licitacao_044fbd3e-e7e2-45a8-b1d5-ec9d1f58a910.csv
353/2019;2019-11-26;PregÃ£o Presencial; ;licitacao_0453ec62-2c82-4758-a178-cc867ea100da.csv
27/2014;2014-01-29;Dispensa p/ Compras e ServiÃ§os; ;licitacao_045944b8-fc6b-40ad-8453-f982c373477b.csv
255/2019;2019-08-13;PregÃ£o Presencial; ;licitacao_0467518b-3e74-40fb-8edb-05f7334e7c75.csv
141/2019;2019-05-22;PregÃ£o Presencial; ;licitacao_04812f94-d78d-40e3-9ddb-c4a92a61865f.csv
137/2020;2020-06-17;Convite p/ Compras e ServiÃ§os; ;licitacao_0487a95e-c901-4ef7-aa00-af2fe392b40e.csv
21/2020;2020-02-11;PregÃ£o Presencial; ;licitacao_0494c4b6-6f24-4235-b433-8c9ca090251a.csv
141/2020;2020-06-16;PregÃ£o Presencial; ;licitacao_0496f5d1-bac7-4e09-afcf-8329cfce4c36.csv
259/2020;2020-10-26;PregÃ£o Presencial; ;licitacao_04a62ae8-04c2-46b7-9808-75afdc83bc7a.csv
130/2020;2020-07-20;PregÃ£o Presencial; ;licitacao_04a6a746-2300-47da-8ed4-32123b89bf51.csv
327/2019;2019-10-30;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_04aaeed5-c1b6-4bd5-b7b0-ccb14fb17d79.csv
118/2019;2019-05-06;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_04b7cb6e-a960-415a-aab5-475e3dc462c7.csv
90/2020;2020-05-12;PregÃ£o Presencial; ;licitacao_04cca094-8ae8-40c8-b760-e4e7d56c752f.csv
339/2018;2018-11-19;Convite p/ Compras e ServiÃ§os; ;licitacao_04d0722c-ac5b-4a08-baf0-99c8e5aff4f3.csv
21/2020;2020-04-27;PregÃ£o Presencial; ;licitacao_0579cfd1-871e-438d-a25a-ee6d67b1709d.csv
71/2019;2019-11-05;PregÃ£o Presencial; ;licitacao_058eb351-90a9-4179-8ef6-eb16a8d70da8.csv
47/2017;2017-07-07;PregÃ£o Presencial; ;licitacao_05a20e47-840a-4d03-b27c-26b0f3248966.csv
223/2018;2018-11-09;ConcorrÃªncia p/ Obras e Serv. Eng.; ;licitacao_05b8c7ff-0302-4c1b-ac02-6726561b19fe.csv
34/2020;2020-04-22;PregÃ£o Presencial; ;licitacao_05f5e60c-8592-41a7-876d-a658ac282fc6.csv
71/2020;2020-03-18;PregÃ£o Presencial; ;licitacao_05f760fe-7c0b-4e27-99aa-fe1c0e2e0ff4.csv
33/2019;2019-06-10;PregÃ£o Presencial; ;licitacao_06099c21-37ca-42ac-96ae-7cc6d3ee44b8.csv
21/2016;2016-03-23;PregÃ£o Presencial; ;licitacao_0627422d-198d-4ea4-b58a-58388f2677d1.csv
344/2019;2019-11-12;PregÃ£o Presencial; ;licitacao_0664c53f-dcac-42aa-b943-4c823f1c3631.csv
64/2020;2020-08-04;PregÃ£o Presencial; ;licitacao_06a28f2e-0d0d-466b-b42f-b2c297ed7155.csv
246/2019;2019-08-06;PregÃ£o Presencial; ;licitacao_06a67e15-f482-48a0-83fe-e3799317f5a6.csv
89/2020;2020-06-22;PregÃ£o Presencial; ;licitacao_06db8a82-70b7-4cc7-8390-29aaf52b8608.csv
225/2020;2020-09-14;Dispensa p/ Compras e ServiÃ§os; ;licitacao_0724391a-0b0b-452a-920b-c3c65f8b3f5b.csv
3/2015;2015-02-27;PregÃ£o Presencial; ;licitacao_072ee4f0-feb4-45ca-9770-05169653a489.csv
211/2010;2010-06-25;Dispensa p/ Compras e ServiÃ§os; ;licitacao_0735528d-5626-4c91-8156-fef9cac7fdcf.csv
90/2020;2020-10-01;PregÃ£o Presencial; ;licitacao_0736b88f-63b8-44a8-a450-cfef0d63aedd.csv
184/2019;2019-06-05;PregÃ£o Presencial; ;licitacao_073e0a5c-09c1-468b-a8cf-f468f0e7823f.csv
81/2020;2020-08-28;PregÃ£o Presencial; ;licitacao_07411211-4ba3-4ad7-bf22-9cefbe4dcbd5.csv
67/2020;2020-06-16;PregÃ£o Presencial; ;licitacao_074efc8d-1dfa-4c52-9124-3916ad11c6f1.csv
87/2020;2020-06-30;PregÃ£o Presencial; ;licitacao_07564875-883b-4c75-a1ed-25c00bbbaca2.csv
26/2013;2013-04-03;Dispensa p/ Compras e ServiÃ§os; ;licitacao_0776d395-9996-4c0b-8805-9002551f2232.csv
10/2019;2019-02-05;PregÃ£o Presencial; ;licitacao_07811dcc-e4fc-45f7-9ee5-1e6c47cbdd94.csv
29/2019;2019-05-10;PregÃ£o Presencial; ;licitacao_07a1e4b5-2c35-40ba-bc74-f80ca1c07eae.csv
281/2019;2019-10-08;PregÃ£o Presencial; ;licitacao_07a6d0c5-a8d1-4d99-8e47-be37c7d04534.csv
57/2019;2019-08-13;Inexigibilidade c/ Processo; ;licitacao_07af9940-659a-4485-99ea-6e48e269e218.csv
179/2020;2020-08-20;PregÃ£o Presencial; ;licitacao_07c89ed8-ef68-4fa9-97df-306da0fd8dad.csv
352/2019;2019-11-22;PregÃ£o Presencial; ;licitacao_07e760d3-5b0d-417c-99ba-dbd3056b1a70.csv
407/2019;2020-02-28;PregÃ£o Presencial; ;licitacao_0807e6ce-c3e6-4867-b2a1-1b1ad101c53e.csv
159/2020;2020-07-13;PregÃ£o Presencial; ;licitacao_0817904f-5f4a-45be-80ad-4e0b3b580cb9.csv
33/2020;2020-03-05;PregÃ£o Presencial; ;licitacao_084fceee-9ed3-4199-b7b3-f69c8acf8405.csv
29/2014;2019-04-02;Dispensa p/ Compras e ServiÃ§os; ;licitacao_087c0b70-2d13-4b38-861c-bedf296409da.csv
109/2020;2020-11-16;PregÃ£o Presencial; ;licitacao_088833d2-34b9-4842-ad01-e8072eab997b.csv
75/2017;2018-02-26;ConcorrÃªncia p/ Compras e Serv.; ;licitacao_0893cf55-8eac-4535-b806-3bdf0dd35802.csv
309/2019;2019-11-12;PregÃ£o Presencial; ;licitacao_089d24f4-2622-4289-a936-17fea5e340e2.csv
29;2014-04-02;Dispensa de LicitaÃ§Ã£o; ;licitacao_08a3b637-4589-413b-b7ae-d1e1d43bde96.csv
200/2019;2019-07-16;PregÃ£o Presencial; ;licitacao_08aaa412-021d-43fd-91ed-faa99c52d04f.csv
267/2018;2018-09-20;PregÃ£o Presencial; ;licitacao_08b9364c-79d1-4ce2-a7ea-5d5cabb8e4a7.csv
202/2019;2019-07-09;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_08ff083b-a024-4f1a-a827-be215a229253.csv
56/2018;2018-04-25;PregÃ£o Presencial; ;licitacao_0924193a-85f8-43e6-bda9-a5bc7cb9770c.csv
229/2020;2020-10-20;PregÃ£o Presencial; ;licitacao_093b3502-a987-4589-b4e6-514976f94c06.csv
109/2020;2020-06-03;PregÃ£o Presencial; ;licitacao_09d22ae2-88d1-4daa-b678-974b1de4b1dd.csv
14/2018;2018-02-27;PregÃ£o Presencial; ;licitacao_09d28ac8-e96f-4a9f-a03c-a828e7e4bf42.csv
46/2017;2017-07-19;PregÃ£o Presencial; ;licitacao_0a02e8b0-7dbd-4d1c-99f8-247de8876fb8.csv
14/2019;2019-02-05;PregÃ£o Presencial; ;licitacao_0a074322-2441-47ff-9fc1-e9d376575174.csv
29/2020;2020-02-11;PregÃ£o Presencial; ;licitacao_0a4e8e2e-80fc-468e-92f8-664579aff1ab.csv
127/20019;2019-05-28;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_0ab14974-64ce-4e4a-bb81-5b25b558048b.csv
386/2019;2019-12-23;PregÃ£o Presencial; ;licitacao_0ab92be0-e3b9-4e76-a8bc-922e57fcff43.csv
191/2020;2020-08-21;PregÃ£o Presencial; ;licitacao_0ad43007-45c9-4ab6-886c-220944825b25.csv
283/2019;2019-09-13;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_0ade7add-a941-4335-b5f3-4f5893f7efa5.csv
357/2019;2019-12-10;Convite p/ Compras e ServiÃ§os; ;licitacao_0b349925-0bbd-4877-b0fc-1cf0f80635ed.csv
46/2019;2019-03-15;Convite p/ Obras e Serv. Eng.; ;licitacao_0b442af6-61b8-45c1-8a4a-ed221b282367.csv
375/2018;2019-01-23;PregÃ£o Presencial; ;licitacao_0b675e96-08ea-4ce2-a98f-68fa1dcb131c.csv
18/2020;2020-03-09;PregÃ£o Presencial; ;licitacao_0b835dab-6dee-464c-b710-21d8c9fdd211.csv
122/2016;2016-05-31;PregÃ£o Presencial; ;licitacao_0b8bc5e9-17e3-49e3-9f3a-ef8ee70d54cc.csv
72/2019;2019-11-04;PregÃ£o Presencial; ;licitacao_0b96cccc-9fc7-4240-bfba-50ba3805ad79.csv
323/2019;2019-10-17;PregÃ£o Presencial; ;licitacao_0b97164e-e74b-40eb-a97a-1dfe7f04dc42.csv
155/2018;2018-05-17;PregÃ£o Presencial; ;licitacao_0b9acb7d-0497-447f-96f3-87bda3d6ae58.csv
172/2020;2020-07-24;PregÃ£o Presencial; ;licitacao_0bc41755-50c0-42dd-ae54-93c19f5626d9.csv
126/2019;2019-04-26;PregÃ£o Presencial; ;licitacao_0bc47132-76ec-4c51-aa44-4068462f8046.csv
139/2020;2020-06-16;PregÃ£o Presencial; ;licitacao_0be911c9-5f2d-4f81-bd9d-c01ecf61f35a.csv
1/2020;2020-01-07;PregÃ£o Presencial; ;licitacao_0bfe7eda-8c77-42f3-9772-e7563ddeb44f.csv
14/2020;2020-02-28;Convite p/ Compras e ServiÃ§os; ;licitacao_0c1db2f7-9da7-4366-9859-1c632756d8ef.csv
198/2020;2020-09-01;PregÃ£o Presencial; ;licitacao_0c743d67-761b-43af-9534-57e5607accbf.csv
66/2020;2020-03-16;PregÃ£o Presencial; ;licitacao_0c80978e-c2c8-484a-b2c7-096626daa38f.csv
7/2020;2020-01-29;Convite p/ Compras e ServiÃ§os; ;licitacao_0c9bdba9-ff6b-40d0-aa41-377e27267517.csv
78/2020;2020-10-07;PregÃ£o Presencial; ;licitacao_0c9dea67-c642-49e9-adfa-900874c85dd7.csv
55/2018;2018-03-12;Convite p/ Compras e ServiÃ§os; ;licitacao_0cb4c5fa-5765-445e-9d72-532f9eb335c9.csv
162/2020;2020-07-14;PregÃ£o Presencial; ;licitacao_0cbb4ac2-74a5-4b94-95ae-34624695d06a.csv
54/2020;2020-06-17;PregÃ£o Presencial; ;licitacao_0cc31324-3242-4d5c-a465-f332006f1d18.csv
189/2019;2019-07-16;PregÃ£o Presencial; ;licitacao_0cee7280-9ff6-4069-8061-d71ae1684c25.csv
224/2020;2020-09-25;Convite p/ Compras e ServiÃ§os; ;licitacao_0cf6bd9f-936b-44c4-9147-cc1305e663fe.csv
190/2019;2019-06-10;PregÃ£o Presencial; ;licitacao_0d0b0b7b-5627-4502-b21f-1c882053375a.csv
12/2010;2010-06-22;Dispensa p/ Compras e ServiÃ§os; ;licitacao_0d4c0bbb-9a22-4b69-83ca-4efc49c176d3.csv
560/2017;2018-01-15;Outras Modalidades/NÃ£o AplicÃ¡vel; ;licitacao_0d4d531a-6fea-4d5e-9b7c-4f3aeb4211cd.csv
45/2017;2017-08-21;Dispensa p/ Compras e ServiÃ§os; ;licitacao_0d51c4cf-03f2-4f52-bd91-3ddf7618339b.csv
294/2019;2019-10-17;Convite p/ Obras e Serv. Eng.; ;licitacao_0d7ec2ed-613a-4fcc-8710-47f7c7b93b4d.csv
299/2019;2019-10-15;Tomada de PreÃ§o p/ Comp. e Serv.; ;licitacao_0dca4d78-3d4d-4a2f-8c99-7aa3c2644769.csv
167/2020;2020-07-17;PregÃ£o Presencial; ;licitacao_0e2ad003-c23a-4fc5-87d8-7f6b4d781eb9.csv
282/2020;2020-12-01;PregÃ£o Presencial; ;licitacao_0e413c60-2bcc-4eb9-9e81-00b871ceea4d.csv
119/2020;2020-12-10;PregÃ£o Presencial; ;licitacao_0e7059b0-5ea0-4eaa-936f-ffe7b4cbeccb.csv
331/2019;2019-11-04;Convite p/ Compras e ServiÃ§os; ;licitacao_0ebfb0c4-1b29-4827-b4c6-6776e075b7fc.csv
38/2019;2019-05-31;PregÃ£o Presencial; ;licitacao_0eef7270-9d3c-4eec-a24f-f172c2e5930e.csv
55/2020;2020-03-04;PregÃ£o Presencial; ;licitacao_0f11af89-89c0-4477-a754-a7ddf788de72.csv
281/2020;2020-12-01;PregÃ£o Presencial; ;licitacao_0f1f7190-29d5-4524-9edf-c1c3dde47d75.csv
48/2015;2015-11-06;PregÃ£o Presencial; ;licitacao_0f484df1-8ce9-4cb6-a42b-383bad4dc59a.csv
373/2018;2019-02-07;PregÃ£o Presencial; ;licitacao_0f56dd57-9bd4-45ca-82c3-74196b3e076c.csv
390/2019;2019-12-23;PregÃ£o Presencial; ;licitacao_0f5c64d1-39d6-4e1e-9490-3d5bd233df3a.csv
239/2019;2019-08-01;PregÃ£o Presencial; ;licitacao_0f7b249b-6f36-44a7-8572-1bd9064b2919.csv
14/2019;2019-08-13;PregÃ£o Presencial; ;licitacao_0f8faf63-b31f-4cf0-8bb8-2b85f8c20e4e.csv
250/2019;2019-08-20;PregÃ£o Presencial; ;licitacao_0fe0a4be-d90e-4f3d-b3f7-5c959180f6b8.csv
321/2019;2019-10-23;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_0fed44aa-f6ba-48f9-80f4-2020b066d41e.csv
108/2018;2018-03-14;Inexigibilidade c/ Processo; ;licitacao_0ff2f7c0-10e9-42ca-8e5f-9eee63ad7c34.csv
206/2019;2019-07-09;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_100f3546-bcc9-4045-8f3e-4a576a0ca765.csv
253/2015;2016-01-22;ConcorrÃªncia p/ Obras e Serv. Eng.; ;licitacao_103302ad-671f-4ff9-92ad-84351e6ff05f.csv
228/2019;2019-07-17;Convite p/ Obras e Serv. Eng.; ;licitacao_1073ec6b-48b8-4056-bef5-645e328e736c.csv
226/2019;2019-07-11;PregÃ£o Presencial; ;licitacao_10ae9314-5e34-454b-b99b-9294ae1e3fae.csv
202/2020;2020-09-09;PregÃ£o Presencial; ;licitacao_10ba550a-70da-4218-9bd9-549ce2a8dbd3.csv
41/2020;2020-04-14;Dispensa p/ Compras e ServiÃ§os; ;licitacao_10c62fd5-74dd-4e6b-a587-043d728bede9.csv
81/2019;2019-12-13;PregÃ£o Presencial; ;licitacao_110a2bb5-d09e-4b5e-9b31-6a2cbb6e9970.csv
5/2012;2012-01-26;Dispensa p/ Compras e ServiÃ§os; ;licitacao_11197a97-38a2-4440-bd82-de8e7249bd96.csv
38;2019-05-17;PregÃ£o Presencial; ;licitacao_111fae9f-0dba-434c-afcb-489dbb9d8221.csv
102/2020;2020-10-30;PregÃ£o Presencial; ;licitacao_114d70e6-b7a6-48df-baa0-b1099581371c.csv
88/2019;2020-05-07;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_1188f1c9-30c6-47c2-b786-998b66967cf5.csv
18/2018;2018-12-03;Tomada de PreÃ§o p/ Comp. e Serv.; ;licitacao_11b48b6c-d462-4c32-b396-33d09aba7ffe.csv
103/2020;2020-05-06;PregÃ£o Presencial; ;licitacao_11bd5676-398a-418b-b382-fd96a1f75106.csv
343/2019;2019-11-20;Convite p/ Obras e Serv. Eng.; ;licitacao_11cd3854-3d14-4e2a-b72b-f71f814e5e4c.csv
236/2019;2019-08-27;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_11d5c17b-2ec0-4495-9858-18d89a14fea4.csv
330/2018;2018-10-22;Inexigibilidade c/ Processo; ;licitacao_11e910fe-c404-4cd1-9b55-06326897c5a9.csv
47/2017;2017-02-07;PregÃ£o Presencial; ;licitacao_128dc4df-5c61-46fe-9718-d931c3cb079b.csv
221/2020;2020-09-28;PregÃ£o Presencial; ;licitacao_12a74422-81d9-4fc6-83be-9f2d76c97e74.csv
22/2020;2020-06-09;PregÃ£o Presencial; ;licitacao_12c57b38-6472-4421-8ad6-79bce6b5350c.csv
171/2020;2020-07-22;PregÃ£o Presencial; ;licitacao_135cd475-0638-4440-b33f-357f0583394c.csv
43/2020;2020-05-06;PregÃ£o Presencial; ;licitacao_1365750e-98a0-474e-8bbb-5605306a7a19.csv
211/2019;2019-08-12;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_136ea53a-f49b-4fda-96f1-b233751fd00e.csv
14/2019;2018-08-13;PregÃ£o Presencial; ;licitacao_137fc3d1-8b14-43c4-80d7-59ac9a167d7f.csv
252/2020;2020-10-29;Convite p/ Obras e Serv. Eng.; ;licitacao_138fbf82-dd48-4705-abe4-89e4d058778f.csv
399/2019;2020-01-16;Convite p/ Obras e Serv. Eng.; ;licitacao_13b1e969-030a-495f-8c69-7dfb7d8a250b.csv
201/2019;2019-07-02;PregÃ£o Presencial; ;licitacao_13b5c83b-842d-42e4-9225-975a408e2fd5.csv
73/2020;2020-08-19;PregÃ£o Presencial; ;licitacao_13f17ff8-c63f-4cb3-8db9-11fe0945f407.csv
209/2020;2020-10-13;Tomada de PreÃ§o p/ Comp. e Serv.; ;licitacao_140e5e2b-371e-48dc-9311-b0c678f2436b.csv
60/2019;2019-10-04;PregÃ£o Presencial; ;licitacao_146f7a1e-09c8-4b27-aeae-fcd4c4433a8c.csv
207/2020;2020-09-14;PregÃ£o Presencial; ;licitacao_147f59f6-1008-4f91-95ea-cb62461b5c5d.csv
77/2019;2019-12-06;PregÃ£o Presencial; ;licitacao_14b9cd61-6c38-45b6-bfc1-591730fee897.csv
72/2020;2020-03-17;Convite p/ Compras e ServiÃ§os; ;licitacao_14e041f4-1cdd-4b03-8108-9103af355116.csv
72/2020;2020-08-05;PregÃ£o Presencial; ;licitacao_14ebef30-3ba0-4d06-96d7-1ed518df9aad.csv
89/2020;2020-09-30;Convite p/ Compras e ServiÃ§os; ;licitacao_14f9693d-2f5f-4582-affe-fbd80dec5e3c.csv
24/2019;2019-02-25;Convite p/ Compras e ServiÃ§os; ;licitacao_15b59cf4-d1b9-4474-82d6-672e78c85053.csv
287/2019;2019-09-10;PregÃ£o Presencial; ;licitacao_15ec185c-d850-45c8-a25d-b2b5b434bf0a.csv
