numeroParcela;valorParcela;dataVencimentoParcela;origem_arquivo
1;119490.54;2020-05-27;parcelas_01d410c5-32c5-4e2e-998f-3e4e596888db.csv
1;3275.95;2020-11-30;parcelas_01db01ea-e09f-4e00-9380-47ecea859b83.csv
1;25151.07;2020-10-30;parcelas_01e0d633-0a8b-49ea-ae26-d76cc955d9ca.csv
1;150000;2020-09-11;parcelas_01e1801d-5290-4b1b-87f0-f4c7b862a91e.csv
1;1556.67;2020-08-19;parcelas_01ed05eb-4fb6-4a2c-ae24-2d79bd18fd9b.csv
1;21411;2020-01-02;parcelas_01f1dd01-11ef-4017-89c2-f6e1faf49faa.csv
1;3741.77;2020-12-30;parcelas_01fbfae1-f5d2-437c-9fe0-2c8719564771.csv
1;1776.44;2020-01-24;parcelas_020494f1-0374-4799-b1d1-93348acf49e6.csv
1;142007.21;2020-05-27;parcelas_02092d9d-3d13-4b4b-9b9d-3218335948b4.csv
1;25689.98;2020-02-26;parcelas_020a35c7-22d3-4181-8a63-81f160950ab3.csv
1;1195.08;2020-11-27;parcelas_020afb77-e614-46df-b581-365954d8d03a.csv
1;787.5;2020-09-28;parcelas_020c8fb3-39ca-4572-b154-542566fb67ad.csv
1;12534;2020-01-13;parcelas_020d4192-6539-41b8-9d02-87c7100dc884.csv
1;66.7;2020-01-03;parcelas_020dc9c0-fb82-47b0-8fc9-71993b2cf01e.csv
1;10686;2020-09-09;parcelas_0216cbc9-ba7c-4d16-b6f6-17fef9fa85d9.csv
1;2362.5;2020-01-28;parcelas_02191983-e85b-4fc4-855d-5d9d1269cfa0.csv
1;2100;2020-03-30;parcelas_021ae9e0-fd91-41d1-a36c-7786c8b63f5c.csv
1;255056.34;2020-01-02;parcelas_0220d6c0-f691-4f88-92cb-aedd7d9eb933.csv
1;22000;2020-12-15;parcelas_02215002-740c-48d4-a61e-76ec92c0c5ed.csv
1;816.12;2020-10-05;parcelas_022804c3-e23a-4b51-b6b3-bc47a22669b0.csv
1;18940.14;2020-01-28;parcelas_022b6708-212e-4419-8673-346aa3df4f25.csv
1;22794.98;2020-01-28;parcelas_022dfb9a-cffd-4d22-84a2-3bf0cadb771c.csv
1;327042.87;2020-12-21;parcelas_02302e19-92c4-4aa8-a9f4-67eb94399957.csv
1;250;2020-08-19;parcelas_02322319-df56-439d-a85a-fc8ef635eb97.csv
1;79.2;2020-11-05;parcelas_023b9746-3d36-452c-8098-d95bcf7f7175.csv
1;202.95;2020-10-07;parcelas_023bdc09-4c55-47c2-836f-a5054c094864.csv
1;12150;2020-01-02;parcelas_02410fa8-d841-47eb-989c-998209d06829.csv
1;1680;2020-12-21;parcelas_0242996e-5cc6-4fd4-9045-0afee2697969.csv
1;3058.76;2020-04-30;parcelas_0257ecf4-424e-4d56-851f-25dc0d82e888.csv
1;50000;2020-09-18;parcelas_02592320-1191-4501-8325-6f8eb9aa255e.csv
1;79.79;2020-02-28;parcelas_02609ba5-029f-4ad0-9d72-a2d5ba8b3aa7.csv
1;625771;2020-12-23;parcelas_0263aea5-4a15-46ce-aa2a-ca46dc98862e.csv
1;66.7;2020-05-15;parcelas_02689bbb-ab5f-47f8-8274-e6b6b6afa025.csv
1;30;2020-10-01;parcelas_0271c6fa-43bc-4e4e-8c1d-1ec7556fa3a5.csv
1;2000;2020-01-28;parcelas_027215a2-981c-4164-8919-6803e6731d37.csv
1;1414.01;2020-09-28;parcelas_0276453d-58ca-47f3-b247-b11aaf8a8fe9.csv
1;66.7;2020-03-17;parcelas_02779a6f-f2bf-48ed-bcfe-501b36eaf8e6.csv
1;50;2020-10-02;parcelas_027f290b-2781-4708-ad54-8185fc41409c.csv
1;158;2020-11-04;parcelas_028880b5-124f-4c50-92c2-a007ed15073a.csv
1;54.4;2020-09-29;parcelas_028b440a-5300-45ee-b815-9f31a444e15f.csv
1;66.7;2020-05-22;parcelas_02905712-9228-47f5-b719-5d4193054163.csv
1;5488.6;2020-01-14;parcelas_029605ee-ad65-473b-b651-a33aa42c8779.csv
1;849709.55;2020-10-02;parcelas_029d0af3-c8ea-4e7f-9ba4-5efaf2e0835b.csv
