anoRetencao;dataRetencao;valorRetencao;origem_arquivo
2020;2020-11-27;986.02;retencoesPagamento_01177567-fef3-4013-bfa0-364efc758b27.csv
2020;2020-11-27;277.17;retencoesPagamento_01177567-fef3-4013-bfa0-364efc758b27.csv
2020;2020-11-27;893.74;retencoesPagamento_01177567-fef3-4013-bfa0-364efc758b27.csv
2020;2020-08-26;24.44;retencoesPagamento_01192301-ece7-4969-bc1c-e0c9bcffb13f.csv
2020;2020-08-26;10.19;retencoesPagamento_01192301-ece7-4969-bc1c-e0c9bcffb13f.csv
2020;2020-08-26;6.11;retencoesPagamento_01192301-ece7-4969-bc1c-e0c9bcffb13f.csv
2020;2020-08-03;63.5;retencoesPagamento_011d9e85-b460-4d2c-ad02-b1d88c2a9ce2.csv
2020;2020-11-06;4.6;retencoesPagamento_01211e2e-1d83-4199-90cf-c023ddc55b7a.csv
2020;2020-11-30;1192.45;retencoesPagamento_01213eb9-a68b-41ce-ae1e-82260b4a55ab.csv
2020;2020-03-02;32.56;retencoesPagamento_01247719-0c44-4945-913e-957197f968b5.csv
2020;2020-12-30;16.54;retencoesPagamento_012520ab-6830-49b0-942a-f91f3e6fb963.csv
2020;2020-12-30;12.4;retencoesPagamento_012520ab-6830-49b0-942a-f91f3e6fb963.csv
2020;2020-06-30;21.06;retencoesPagamento_013906c8-e348-45f8-ba22-383cf6be253b.csv
2020;2020-06-30;84.24;retencoesPagamento_013906c8-e348-45f8-ba22-383cf6be253b.csv
2020;2020-06-30;35.1;retencoesPagamento_013906c8-e348-45f8-ba22-383cf6be253b.csv
2020;2020-06-24;52.66;retencoesPagamento_014a6f08-21b9-41b3-b1d2-71f52fa42b85.csv
2020;2020-06-24;11.06;retencoesPagamento_014eef16-2d95-47bd-a17a-1d378ade08cb.csv
2020;2020-10-16;37.36;retencoesPagamento_0159eb94-488e-4ecf-9477-dddf1e626450.csv
2020;2020-04-30;126.68;retencoesPagamento_015b555c-ea36-4742-a3dd-9a6396428e1d.csv
2020;2020-04-30;168.91;retencoesPagamento_015b555c-ea36-4742-a3dd-9a6396428e1d.csv
2020;2020-07-31;229.33;retencoesPagamento_015d9ccf-d0e9-450f-8aa5-59422f355fdf.csv
2020;2020-06-01;151.78;retencoesPagamento_01624fe3-c386-4b2d-9506-2ff5e4d311e4.csv
2020;2020-06-01;30.36;retencoesPagamento_01624fe3-c386-4b2d-9506-2ff5e4d311e4.csv
2020;2020-10-22;6.41;retencoesPagamento_01713876-4448-4cd9-a206-eafc9560ccdf.csv
2020;2020-10-22;25.66;retencoesPagamento_01713876-4448-4cd9-a206-eafc9560ccdf.csv
2020;2020-10-22;10.69;retencoesPagamento_01713876-4448-4cd9-a206-eafc9560ccdf.csv
2020;2020-10-22;14.26;retencoesPagamento_01713876-4448-4cd9-a206-eafc9560ccdf.csv
2020;2020-10-22;34.21;retencoesPagamento_01713876-4448-4cd9-a206-eafc9560ccdf.csv
2020;2020-10-22;8.55;retencoesPagamento_01713876-4448-4cd9-a206-eafc9560ccdf.csv
2020;2020-02-13;42.22;retencoesPagamento_017f9550-5c90-41de-96a5-9aa192aefeb6.csv
2020;2020-02-13;31.66;retencoesPagamento_017f9550-5c90-41de-96a5-9aa192aefeb6.csv
2020;2020-06-18;23.72;retencoesPagamento_018ff57d-3a48-4d52-94a9-176741f1d388.csv
2020;2020-02-03;147.82;retencoesPagamento_019bb6e3-dae0-4e7d-adea-14d1e13dc744.csv
2020;2020-02-03;110.86;retencoesPagamento_019bb6e3-dae0-4e7d-adea-14d1e13dc744.csv
2020;2020-09-01;886.96;retencoesPagamento_01bb05c1-37a3-4233-b4f0-2758fbb664c9.csv
2020;2020-09-01;2128.69;retencoesPagamento_01bb05c1-37a3-4233-b4f0-2758fbb664c9.csv
2020;2020-09-01;532.17;retencoesPagamento_01bb05c1-37a3-4233-b4f0-2758fbb664c9.csv
2020;2020-09-01;798.26;retencoesPagamento_01bb05c1-37a3-4233-b4f0-2758fbb664c9.csv
2020;2020-09-01;332.61;retencoesPagamento_01bb05c1-37a3-4233-b4f0-2758fbb664c9.csv
2020;2020-09-01;199.56;retencoesPagamento_01bb05c1-37a3-4233-b4f0-2758fbb664c9.csv
2020;2020-12-17;85.52;retencoesPagamento_01c495e6-4d7d-4fe8-be1e-502f02b9b531.csv
2020;2020-01-13;7.57;retencoesPagamento_01ccd0e7-6809-4d06-be9e-1e110303011b.csv
2020;2020-01-13;3.16;retencoesPagamento_01ccd0e7-6809-4d06-be9e-1e110303011b.csv
2020;2020-01-13;1.89;retencoesPagamento_01ccd0e7-6809-4d06-be9e-1e110303011b.csv
2020;2020-06-04;24;retencoesPagamento_01cceb6a-4335-42b6-9b7e-a5f773bfaffd.csv
2020;2020-06-04;12;retencoesPagamento_01cceb6a-4335-42b6-9b7e-a5f773bfaffd.csv
2020;2020-05-29;27.1;retencoesPagamento_01d96e6d-3ab8-4608-8a1f-9d26b33d3dd7.csv
2020;2020-05-29;108.41;retencoesPagamento_01d96e6d-3ab8-4608-8a1f-9d26b33d3dd7.csv
2020;2020-05-29;45.17;retencoesPagamento_01d96e6d-3ab8-4608-8a1f-9d26b33d3dd7.csv
2020;2020-12-30;46.1;retencoesPagamento_01e1acf8-db81-47e7-9c88-7a4cce758d37.csv
2020;2020-12-30;34.58;retencoesPagamento_01e1acf8-db81-47e7-9c88-7a4cce758d37.csv
2020;2020-05-01;164.49;retencoesPagamento_021644aa-3890-45cc-bba1-9c7122c81b31.csv
2020;2020-05-01;123.36;retencoesPagamento_021644aa-3890-45cc-bba1-9c7122c81b31.csv
2020;2020-05-01;23.13;retencoesPagamento_0229647c-3490-4f38-b191-48f1088f61d9.csv
2020;2020-05-01;92.51;retencoesPagamento_0229647c-3490-4f38-b191-48f1088f61d9.csv
2020;2020-05-01;38.55;retencoesPagamento_0229647c-3490-4f38-b191-48f1088f61d9.csv
2020;2020-02-28;62.4;retencoesPagamento_022f365f-c340-49ef-8c36-028e76f043a3.csv
2020;2020-02-28;26;retencoesPagamento_022f365f-c340-49ef-8c36-028e76f043a3.csv
2020;2020-02-28;15.6;retencoesPagamento_022f365f-c340-49ef-8c36-028e76f043a3.csv
2020;2020-05-05;88.2;retencoesPagamento_0246544f-72a3-48af-92fc-7c45e0180fc2.csv
2020;2020-09-01;137.45;retencoesPagamento_02496e3f-9a2f-42dd-8cfe-6cfc010349ef.csv
2020;2020-04-30;279.04;retencoesPagamento_02529093-f9e3-48ff-b10d-1ff152ca93d2.csv
2020;2020-04-30;116.27;retencoesPagamento_02529093-f9e3-48ff-b10d-1ff152ca93d2.csv
2020;2020-04-30;69.76;retencoesPagamento_02529093-f9e3-48ff-b10d-1ff152ca93d2.csv
2020;2020-11-06;7.66;retencoesPagamento_0260809d-0b66-47d6-911e-d07464bdd0a2.csv
2020;2020-11-06;3.2;retencoesPagamento_0260809d-0b66-47d6-911e-d07464bdd0a2.csv
2020;2020-11-06;1.92;retencoesPagamento_0260809d-0b66-47d6-911e-d07464bdd0a2.csv
2020;2020-05-06;98.75;retencoesPagamento_026b7d02-0dd8-4c6f-af5d-2a5be80ace61.csv
2020;2020-11-03;333.23;retencoesPagamento_026da915-29f9-496d-99d4-37c464587c81.csv
2020;2020-11-06;29.09;retencoesPagamento_0273d8af-89be-4952-aa85-1fe78d911b28.csv
2020;2020-11-06;48.49;retencoesPagamento_0273d8af-89be-4952-aa85-1fe78d911b28.csv
2020;2020-11-06;116.38;retencoesPagamento_0273d8af-89be-4952-aa85-1fe78d911b28.csv
2020;2020-11-25;14.19;retencoesPagamento_02776186-a3a6-42fd-8040-5ea719ce7802.csv
2020;2020-11-25;10.64;retencoesPagamento_02776186-a3a6-42fd-8040-5ea719ce7802.csv
2020;2020-06-11;91.34;retencoesPagamento_027bc980-5d10-4855-bf33-c07691874b71.csv
2020;2020-06-24;149.94;retencoesPagamento_02886702-7e86-433f-92c0-f9fc6b1ebd4e.csv
2020;2020-06-24;112.46;retencoesPagamento_02886702-7e86-433f-92c0-f9fc6b1ebd4e.csv
2020;2020-11-03;48.22;retencoesPagamento_02939b58-4950-4531-b149-3301a2620890.csv
2020;2020-11-03;20.09;retencoesPagamento_02939b58-4950-4531-b149-3301a2620890.csv
2020;2020-11-03;12.06;retencoesPagamento_02939b58-4950-4531-b149-3301a2620890.csv
2020;2020-08-21;42.21;retencoesPagamento_02a2a36b-e279-4b87-8422-4d415f1bf653.csv
2020;2020-03-30;1395;retencoesPagamento_02a58437-2047-4bba-9ddf-1702466b27cb.csv
2020;2020-11-30;1350.94;retencoesPagamento_02abea1e-e283-419a-8360-a29ce8d26195.csv
2020;2020-11-30;270.19;retencoesPagamento_02abea1e-e283-419a-8360-a29ce8d26195.csv
2020;2020-02-13;127.91;retencoesPagamento_02af5d1f-8374-4e5f-8fb6-8ad5f1a83334.csv
2020;2020-03-31;11040.47;retencoesPagamento_02afcdad-e432-4f11-9f73-66c880c35413.csv
2020;2020-05-29;403.51;retencoesPagamento_02b35fdc-6023-4dfc-bd01-79bf2f1535eb.csv
2020;2020-05-29;80.7;retencoesPagamento_02b35fdc-6023-4dfc-bd01-79bf2f1535eb.csv
2020;2020-10-16;2.72;retencoesPagamento_02b43f88-d16d-4c05-8eee-cca5cd209f67.csv
2020;2020-02-28;7.37;retencoesPagamento_02bd5655-335a-4b7b-bb49-dd64d4c4ce5b.csv
2020;2020-02-28;12.28;retencoesPagamento_02bd5655-335a-4b7b-bb49-dd64d4c4ce5b.csv
2020;2020-02-28;29.45;retencoesPagamento_02bd5655-335a-4b7b-bb49-dd64d4c4ce5b.csv
2020;2020-02-28;16.36;retencoesPagamento_02bd5655-335a-4b7b-bb49-dd64d4c4ce5b.csv
2020;2020-02-28;39.28;retencoesPagamento_02bd5655-335a-4b7b-bb49-dd64d4c4ce5b.csv
2020;2020-02-28;9.82;retencoesPagamento_02bd5655-335a-4b7b-bb49-dd64d4c4ce5b.csv
2020;2020-03-30;10;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;1622.36;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;3091.92;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;2572.73;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;438.9;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;1002.3;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;124.5;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;4593.46;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;2313.84;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;649.14;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;7359.69;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;777.4;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;1295.67;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;3109.61;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;15973.96;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;4991.54;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-03-30;21196.51;retencoesPagamento_02d1bdf7-d041-4e92-aa6a-b1149dab596f.csv
2020;2020-12-30;273.88;retencoesPagamento_02e0d444-3926-4511-917b-f61edd36dafb.csv
2020;2020-12-30;205.41;retencoesPagamento_02e0d444-3926-4511-917b-f61edd36dafb.csv
2020;2020-11-03;971.86;retencoesPagamento_02ea124c-5d2b-46db-ad98-f0295b97cf2c.csv
2020;2020-07-31;175.45;retencoesPagamento_03013933-34cf-47e0-90b3-d63cd713c07f.csv
2020;2020-07-31;73.11;retencoesPagamento_03013933-34cf-47e0-90b3-d63cd713c07f.csv
2020;2020-07-31;43.86;retencoesPagamento_03013933-34cf-47e0-90b3-d63cd713c07f.csv
2020;2020-02-27;1083.26;retencoesPagamento_030cd35b-7e42-40a8-91e7-a8a5acc92691.csv
2020;2020-02-27;1046.59;retencoesPagamento_030cd35b-7e42-40a8-91e7-a8a5acc92691.csv
2020;2020-02-27;5;retencoesPagamento_030cd35b-7e42-40a8-91e7-a8a5acc92691.csv
2020;2020-02-27;933.11;retencoesPagamento_030cd35b-7e42-40a8-91e7-a8a5acc92691.csv
2020;2020-02-27;2239.46;retencoesPagamento_030cd35b-7e42-40a8-91e7-a8a5acc92691.csv
2020;2020-02-27;559.86;retencoesPagamento_030cd35b-7e42-40a8-91e7-a8a5acc92691.csv
2020;2020-11-25;69.45;retencoesPagamento_031d3bfe-9df8-4dba-8c28-de52c1d6984f.csv
2020;2020-11-25;52.08;retencoesPagamento_031d3bfe-9df8-4dba-8c28-de52c1d6984f.csv
2020;2020-08-01;570.24;retencoesPagamento_031eb54d-56e5-4644-9b5e-f32b67992736.csv
2020;2020-03-02;130.75;retencoesPagamento_03268398-051d-4470-95e4-65442e4d302b.csv
2020;2020-03-02;313.81;retencoesPagamento_03268398-051d-4470-95e4-65442e4d302b.csv
2020;2020-03-02;78.45;retencoesPagamento_03268398-051d-4470-95e4-65442e4d302b.csv
2020;2020-04-17;1.95;retencoesPagamento_0344d76c-d184-42ae-a3ac-b97f2e8358de.csv
2020;2020-04-17;3.25;retencoesPagamento_0344d76c-d184-42ae-a3ac-b97f2e8358de.csv
2020;2020-04-17;7.8;retencoesPagamento_0344d76c-d184-42ae-a3ac-b97f2e8358de.csv
2020;2020-12-30;525.87;retencoesPagamento_0345e3df-935b-4884-b42a-13b4912cba0a.csv
2020;2020-12-30;394.41;retencoesPagamento_0345e3df-935b-4884-b42a-13b4912cba0a.csv
2020;2020-06-25;106.06;retencoesPagamento_03467aae-3a24-42b3-8712-d3b9843b0b14.csv
2020;2020-06-25;79.54;retencoesPagamento_03467aae-3a24-42b3-8712-d3b9843b0b14.csv
2020;2020-11-03;64.19;retencoesPagamento_0350a3dd-3a64-4413-8cd4-32a4b2156945.csv
2020;2020-11-03;85.58;retencoesPagamento_0350a3dd-3a64-4413-8cd4-32a4b2156945.csv
2020;2020-02-28;259.99;retencoesPagamento_0352abdc-bb91-4f07-affe-ff4dcd400e25.csv
2020;2020-02-28;108.33;retencoesPagamento_0352abdc-bb91-4f07-affe-ff4dcd400e25.csv
2020;2020-02-28;65;retencoesPagamento_0352abdc-bb91-4f07-affe-ff4dcd400e25.csv
2020;2020-09-14;29.03;retencoesPagamento_03542b40-7b47-4eca-9d2f-f6757c895159.csv
2020;2020-11-06;8.95;retencoesPagamento_03581dea-60da-482a-a283-e69dd1275941.csv
2020;2020-09-29;935.9;retencoesPagamento_035b7db2-d765-4c83-a773-8a39a4be3c1c.csv
2020;2020-09-29;20138.42;retencoesPagamento_035b7db2-d765-4c83-a773-8a39a4be3c1c.csv
2020;2020-09-29;6082.46;retencoesPagamento_035b7db2-d765-4c83-a773-8a39a4be3c1c.csv
2020;2020-09-29;4366.55;retencoesPagamento_035b7db2-d765-4c83-a773-8a39a4be3c1c.csv
2020;2020-09-29;1411;retencoesPagamento_035b7db2-d765-4c83-a773-8a39a4be3c1c.csv
2020;2020-09-29;85;retencoesPagamento_035b7db2-d765-4c83-a773-8a39a4be3c1c.csv
2020;2020-09-29;7523.06;retencoesPagamento_035b7db2-d765-4c83-a773-8a39a4be3c1c.csv
2020;2020-09-29;80054.41;retencoesPagamento_035b7db2-d765-4c83-a773-8a39a4be3c1c.csv
2020;2020-09-29;2499.17;retencoesPagamento_035b7db2-d765-4c83-a773-8a39a4be3c1c.csv
2020;2020-09-29;90319.78;retencoesPagamento_035b7db2-d765-4c83-a773-8a39a4be3c1c.csv
2020;2020-09-29;13961.21;retencoesPagamento_035b7db2-d765-4c83-a773-8a39a4be3c1c.csv
2020;2020-09-29;42666.89;retencoesPagamento_035b7db2-d765-4c83-a773-8a39a4be3c1c.csv
2020;2020-09-29;797.87;retencoesPagamento_035b7db2-d765-4c83-a773-8a39a4be3c1c.csv
