uuidDespesa;numeroDespesa;descricaoDespesa;dataDespesa;origem_arquivo
despesa_orcamentaria_29_2020_45;45;Manut. da Coordenadoria de OrganizaÃ§Ãµes Comunitarias;2020-01-02;dotacaoOrcamentaria_41293179-4829-4084-a83d-3d51cc48c142.csv
despesa_orcamentaria_181_2020_9;9;manut. dos sitemas de Ã¡gua e esgoto do Municpio, com recursos do Contrato CASAN/FUNSAB;2020-01-02;dotacaoOrcamentaria_41553882-3d87-4c67-bdfd-3de64aedb0f7.csv
despesa_orcamentaria_178_2019_97;97;ManutenÃ§Ã£o do Centro de Zoonoses - CCZ;2019-01-02;dotacaoOrcamentaria_42c3383d-a902-40ad-ad2a-0de711c496f9.csv
despesa_orcamentaria_29_2020_263;263;EdificaÃ§Ãµes Publicas;2020-01-02;dotacaoOrcamentaria_43a4992c-0c33-4553-8e8b-0a5f09cbd9f1.csv
despesa_orcamentaria_29_2019_2;2;Manut. Funcional do Gabinete do Prefeito;2019-01-02;dotacaoOrcamentaria_443383b2-0a80-47ab-92cc-b30768ea685d.csv
despesa_orcamentaria_29_2019_285;285;Parques/PraÃ§as/Jardins;2019-01-02;dotacaoOrcamentaria_45aa294a-a7aa-4cb9-ba8d-91121a526f7f.csv
despesa_orcamentaria_29_2019_158;158;ConvÃªnios com Entidades Educacionais;2019-01-02;dotacaoOrcamentaria_46bf71c4-e9d0-42ea-ad5a-345b42512c47.csv
despesa_orcamentaria_29_2015_132;132;ConvÃªnio Policia Militar;2015-01-02;dotacaoOrcamentaria_474fa383-5350-4ded-b510-5c476b22442e.csv
despesa_orcamentaria_29_2019_315;315;ConvÃªnios com Entidades Educacionais;2019-12-27;dotacaoOrcamentaria_47728d23-c7ae-4378-b660-4f4641cb7526.csv
despesa_orcamentaria_29_2020_279;279;ConvÃªnio Rio de Manut. Manejo de Rios;2020-01-02;dotacaoOrcamentaria_47d6045b-a4b2-4207-8925-c18da95e9f2a.csv
despesa_orcamentaria_29_2020_243;243;Manut. Depto Fisico e Territotial - DPFT;2020-01-02;dotacaoOrcamentaria_4b854a7c-6041-4d08-9cb3-5c07f3577a7c.csv
despesa_orcamentaria_29_2019_294;294;Frota Municipal;2019-01-02;dotacaoOrcamentaria_4b9e69c5-cdc1-42cb-8d5c-831581fd54be.csv
392379;5;Manut. da Epidemiologia;2020-01-01;dotacaoOrcamentaria_4bd6e6e6-7517-4671-867c-e33b8f0cb71d.csv
despesa_orcamentaria_29_2019_241;241;Manut. depto de Obras;2019-01-02;dotacaoOrcamentaria_4c51ea4a-3252-44f5-bbe9-054114768248.csv
despesa_orcamentaria_178_2018_62;62;Manut. CEREST;2018-01-02;dotacaoOrcamentaria_4cc0988c-d40c-4420-ab05-71d719ba3652.csv
