anoRetencao;dataRetencao;valorRetido;origem_arquivo
2019;2019-08-27;14158.59;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
2019;2019-08-27;22182.71;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
2019;2019-08-27;1782.2;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
2019;2019-08-27;123861.02;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
2019;2019-05-31;2788.64;retencoesLiquidacao_01ef7b49-7239-4e24-94fc-81781f1627ed.csv
2019;2019-07-26;9730.02;retencoesLiquidacao_01fa6dad-164a-4dd3-bf94-495855c0f56b.csv
2019;2019-07-26;8042.42;retencoesLiquidacao_01fa6dad-164a-4dd3-bf94-495855c0f56b.csv
2019;2019-07-26;714.09;retencoesLiquidacao_01fa6dad-164a-4dd3-bf94-495855c0f56b.csv
2019;2019-07-26;2311.26;retencoesLiquidacao_01fa6dad-164a-4dd3-bf94-495855c0f56b.csv
2019;2019-07-26;2070.77;retencoesLiquidacao_01fa6dad-164a-4dd3-bf94-495855c0f56b.csv
2019;2019-07-26;294.1;retencoesLiquidacao_01fa6dad-164a-4dd3-bf94-495855c0f56b.csv
2019;2019-07-26;1769.16;retencoesLiquidacao_01fa6dad-164a-4dd3-bf94-495855c0f56b.csv
2019;2019-07-26;602.59;retencoesLiquidacao_01fa6dad-164a-4dd3-bf94-495855c0f56b.csv
2019;2019-07-26;4876.83;retencoesLiquidacao_01fa6dad-164a-4dd3-bf94-495855c0f56b.csv
2019;2019-01-31;257.57;retencoesLiquidacao_02051657-6499-4921-816a-29467f822cdb.csv
2019;2019-10-09;110.55;retencoesLiquidacao_02075399-6340-456c-91fd-3cbcad186de9.csv
2019;2019-10-09;46.07;retencoesLiquidacao_02075399-6340-456c-91fd-3cbcad186de9.csv
2019;2019-10-09;27.64;retencoesLiquidacao_02075399-6340-456c-91fd-3cbcad186de9.csv
2019;2019-10-03;144.54;retencoesLiquidacao_020f4e51-4ee3-4b5b-a779-ecd4f59a24c3.csv
2019;2019-01-28;183.2;retencoesLiquidacao_02210e5e-6319-4856-abf7-fc8925eb94d6.csv
2019;2019-01-28;76.33;retencoesLiquidacao_02210e5e-6319-4856-abf7-fc8925eb94d6.csv
2019;2019-01-28;45.8;retencoesLiquidacao_02210e5e-6319-4856-abf7-fc8925eb94d6.csv
2019;2019-12-11;173.57;retencoesLiquidacao_02273068-42d6-4001-8331-e687908e7c3e.csv
2019;2019-12-11;289.28;retencoesLiquidacao_02273068-42d6-4001-8331-e687908e7c3e.csv
2019;2019-12-11;694.27;retencoesLiquidacao_02273068-42d6-4001-8331-e687908e7c3e.csv
2019;2019-12-11;1612.52;retencoesLiquidacao_02273068-42d6-4001-8331-e687908e7c3e.csv
2019;2019-12-11;2971.57;retencoesLiquidacao_02273068-42d6-4001-8331-e687908e7c3e.csv
2019;2019-03-01;131.35;retencoesLiquidacao_0236d8d0-af9a-4716-8b75-56f472fe5751.csv
2019;2019-03-01;175.13;retencoesLiquidacao_0236d8d0-af9a-4716-8b75-56f472fe5751.csv
2019;2019-10-23;96.6;retencoesLiquidacao_0239aaf8-86ec-47ee-96b9-93fcc81ba7f1.csv
2019;2019-09-12;107.14;retencoesLiquidacao_0242a7e7-ffee-44a0-ac0d-0031ab47956a.csv
2019;2019-09-12;44.64;retencoesLiquidacao_0242a7e7-ffee-44a0-ac0d-0031ab47956a.csv
2019;2019-09-12;26.78;retencoesLiquidacao_0242a7e7-ffee-44a0-ac0d-0031ab47956a.csv
2019;2019-03-29;1200.49;retencoesLiquidacao_0247fa0c-7096-4df8-b999-4805336e8ecb.csv
2019;2019-03-29;240.1;retencoesLiquidacao_0247fa0c-7096-4df8-b999-4805336e8ecb.csv
2019;2019-11-13;30.09;retencoesLiquidacao_024edf57-275f-4f04-9e2f-bb49c6b1520e.csv
2019;2019-11-13;15.04;retencoesLiquidacao_024edf57-275f-4f04-9e2f-bb49c6b1520e.csv
2019;2019-03-29;14812.5;retencoesLiquidacao_025275b6-7971-47f0-ae59-bf7d1f500ad2.csv
2019;2019-03-29;2962.5;retencoesLiquidacao_025275b6-7971-47f0-ae59-bf7d1f500ad2.csv
2019;2019-03-29;183.12;retencoesLiquidacao_0256ce63-b663-4012-8bb8-ff4def4f440c.csv
2019;2019-03-29;137.34;retencoesLiquidacao_0256ce63-b663-4012-8bb8-ff4def4f440c.csv
2019;2019-04-04;276.03;retencoesLiquidacao_0257499c-493a-4cfe-8543-eaab2bf0003b.csv
2019;2019-05-31;1288.37;retencoesLiquidacao_025931a1-c44a-4c7b-8385-2f81c103513f.csv
2019;2019-07-11;8.21;retencoesLiquidacao_025b46b0-ef40-4ddc-96f0-7ddf26653710.csv
2019;2019-07-11;4.1;retencoesLiquidacao_025b46b0-ef40-4ddc-96f0-7ddf26653710.csv
2019;2019-09-25;39.33;retencoesLiquidacao_026d0eb2-6960-4a86-a4d1-df01714e0507.csv
2019;2019-08-30;44.32;retencoesLiquidacao_0274e872-3385-48ab-9090-b77d1d29d62e.csv
2019;2019-04-29;3050.36;retencoesLiquidacao_02870a6c-ec3f-4d3a-b2ef-63a46c0a1851.csv
2019;2019-04-29;1270.99;retencoesLiquidacao_02870a6c-ec3f-4d3a-b2ef-63a46c0a1851.csv
2019;2019-04-29;762.59;retencoesLiquidacao_02870a6c-ec3f-4d3a-b2ef-63a46c0a1851.csv
2019;2019-04-29;1046.6;retencoesLiquidacao_02870a6c-ec3f-4d3a-b2ef-63a46c0a1851.csv
2019;2019-04-29;1825.65;retencoesLiquidacao_02870a6c-ec3f-4d3a-b2ef-63a46c0a1851.csv
2019;2019-04-29;5;retencoesLiquidacao_02870a6c-ec3f-4d3a-b2ef-63a46c0a1851.csv
2019;2019-09-26;613.75;retencoesLiquidacao_02dc4308-ab7b-4049-866d-b5ed067e4303.csv
2019;2019-09-26;232.73;retencoesLiquidacao_02dc4308-ab7b-4049-866d-b5ed067e4303.csv
2019;2019-09-26;13767.76;retencoesLiquidacao_02dc4308-ab7b-4049-866d-b5ed067e4303.csv
2019;2019-09-26;3555.76;retencoesLiquidacao_02dc4308-ab7b-4049-866d-b5ed067e4303.csv
2019;2019-09-26;296.4;retencoesLiquidacao_02dc4308-ab7b-4049-866d-b5ed067e4303.csv
2019;2019-09-26;3852.01;retencoesLiquidacao_02dc4308-ab7b-4049-866d-b5ed067e4303.csv
2019;2019-09-26;722.78;retencoesLiquidacao_02dc4308-ab7b-4049-866d-b5ed067e4303.csv
2019;2019-09-26;13888.1;retencoesLiquidacao_02dc4308-ab7b-4049-866d-b5ed067e4303.csv
2019;2019-09-26;15;retencoesLiquidacao_02dc4308-ab7b-4049-866d-b5ed067e4303.csv
2019;2019-09-26;382.31;retencoesLiquidacao_02dc4308-ab7b-4049-866d-b5ed067e4303.csv
2019;2019-04-29;3124.91;retencoesLiquidacao_02f5ebd8-679e-4c6c-bcc8-a293ca8ee48f.csv
2019;2019-04-29;1919.08;retencoesLiquidacao_02f5ebd8-679e-4c6c-bcc8-a293ca8ee48f.csv
2019;2019-04-29;4072.16;retencoesLiquidacao_02f5ebd8-679e-4c6c-bcc8-a293ca8ee48f.csv
2019;2019-04-29;180;retencoesLiquidacao_02f5ebd8-679e-4c6c-bcc8-a293ca8ee48f.csv
2019;2019-04-29;759.96;retencoesLiquidacao_02f5ebd8-679e-4c6c-bcc8-a293ca8ee48f.csv
2019;2019-04-29;5717.97;retencoesLiquidacao_02f5ebd8-679e-4c6c-bcc8-a293ca8ee48f.csv
2019;2019-04-29;34.19;retencoesLiquidacao_02f5ebd8-679e-4c6c-bcc8-a293ca8ee48f.csv
2019;2019-04-29;2315.84;retencoesLiquidacao_02f5ebd8-679e-4c6c-bcc8-a293ca8ee48f.csv
2019;2019-04-29;6;retencoesLiquidacao_02f5ebd8-679e-4c6c-bcc8-a293ca8ee48f.csv
2019;2019-04-29;4277.93;retencoesLiquidacao_02f5ebd8-679e-4c6c-bcc8-a293ca8ee48f.csv
2019;2019-04-29;1069.48;retencoesLiquidacao_02f5ebd8-679e-4c6c-bcc8-a293ca8ee48f.csv
2019;2019-04-29;1782.47;retencoesLiquidacao_02f5ebd8-679e-4c6c-bcc8-a293ca8ee48f.csv
2019;2019-03-13;37.5;retencoesLiquidacao_02ff1c06-96fa-4bb1-95ea-dafaa1c93484.csv
2019;2019-06-27;25.11;retencoesLiquidacao_030b211f-6d5c-49e6-80b4-67874738b9b2.csv
2019;2019-06-27;10.46;retencoesLiquidacao_030b211f-6d5c-49e6-80b4-67874738b9b2.csv
2019;2019-06-27;310.19;retencoesLiquidacao_030b211f-6d5c-49e6-80b4-67874738b9b2.csv
2019;2019-06-27;166;retencoesLiquidacao_030b211f-6d5c-49e6-80b4-67874738b9b2.csv
2019;2019-06-27;10;retencoesLiquidacao_030b211f-6d5c-49e6-80b4-67874738b9b2.csv
2019;2019-06-27;458.5;retencoesLiquidacao_030b211f-6d5c-49e6-80b4-67874738b9b2.csv
2019;2019-06-27;6.28;retencoesLiquidacao_030b211f-6d5c-49e6-80b4-67874738b9b2.csv
2019;2019-06-27;158.56;retencoesLiquidacao_030b211f-6d5c-49e6-80b4-67874738b9b2.csv
2019;2019-04-17;171.77;retencoesLiquidacao_031399dd-3c90-4906-acf5-fe24668d4cbb.csv
2019;2019-05-31;252.68;retencoesLiquidacao_0322f326-2f0e-4dea-bbe4-cf5231cf2e58.csv
2019;2019-11-18;376.58;retencoesLiquidacao_032c1d2b-22de-4be1-bef8-24bdd441dc3a.csv
2019;2019-03-29;216.71;retencoesLiquidacao_032fc721-68c5-4668-b38d-d91c03276475.csv
2019;2019-03-29;288.95;retencoesLiquidacao_032fc721-68c5-4668-b38d-d91c03276475.csv
2019;2019-10-31;179.45;retencoesLiquidacao_0340de19-adf0-4ca6-bb64-46bfebd9481c.csv
2019;2019-05-10;11.53;retencoesLiquidacao_034228e6-925b-4b09-a1ad-5247689d9790.csv
2019;2019-05-10;27.68;retencoesLiquidacao_034228e6-925b-4b09-a1ad-5247689d9790.csv
