idLiquidacao;parcelaEmpenho;dataPagamento;tipoPagamento;banco;agenciaBancaria;contaCorrente;historico;valorPagamento;anulacoesPagamento;retencoesPagamento;origem_arquivo
2818;1;2019-07-22;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;15020; ; ;pagamentos_01576501-8b04-4fc4-a3fa-2d965042e667.csv
2985;1;2019-08-05;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;4929; ; ;pagamentos_01576501-8b04-4fc4-a3fa-2d965042e667.csv
3423;1;2019-08-19;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;1500; ; ;pagamentos_01576501-8b04-4fc4-a3fa-2d965042e667.csv
3424;1;2019-08-26;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;4080; ; ;pagamentos_01576501-8b04-4fc4-a3fa-2d965042e667.csv
5749;1;2019-07-25;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;500; ; ;pagamentos_0158b3dd-fe03-4ff4-9f99-78c608cdbba4.csv
919;1;2019-03-25; ; ; ; ; ;9.04; ;retencoesPagamento_fd04ce91-1737-49ff-b847-10b40078130f.csv;pagamentos_015b3b56-4266-48d9-8a94-c9a86bb91467.csv
919;1;2019-04-01;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;443.16; ; ;pagamentos_015b3b56-4266-48d9-8a94-c9a86bb91467.csv
465;1;2019-02-25;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;70; ; ;pagamentos_015e3e19-1ef8-4662-ba11-a16fec96510d.csv
9572;1;2019-10-29; ; ; ; ; ;59354.57; ;retencoesPagamento_1d810d03-e937-426a-a7f7-ae30ee92432a.csv;pagamentos_0165e99e-2fff-4ddb-ba68-6a07ff7e5237.csv
9572;1;2019-10-30;DÃ©bito em conta;104 - CAIXA ECONOMICA FEDERAL S/A;0415-4 - CRICIUMA;32-4      ; ;155207.51; ; ;pagamentos_0165e99e-2fff-4ddb-ba68-6a07ff7e5237.csv
7188;1;2019-08-28;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;85.96; ; ;pagamentos_0166a2d0-bbba-40a0-8e96-2907324cb58a.csv
4613;1;2019-07-01;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;250; ; ;pagamentos_0169b07c-3607-4a3f-a1d9-3a8823fc4c38.csv
5790;1;2019-07-24;DÃ©bito em conta;104 - CAIXA ECONOMICA FEDERAL S/A;0415-4 - CRICIUMA;672.010-8; ;54344.62; ; ;pagamentos_016ee57b-1b52-40d7-a764-1032432159a7.csv
129;1;2019-02-13; ; ; ; ; ;2.31; ;retencoesPagamento_3c7d8e7e-2f86-4ecd-8fcf-1e258c3222a2.csv;pagamentos_016f477e-cc7b-4c23-9d74-61f13730611a.csv
129;1;2019-03-12;DÃ©bito em conta;001 - BANCO DO BRASIL S/A;3226-3 - CENTRO;19.670-3; ;62.78; ; ;pagamentos_016f477e-cc7b-4c23-9d74-61f13730611a.csv
8688;1;2019-10-17;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;24838.97; ; ;pagamentos_0170af9f-e522-47ad-bd41-19956c92503a.csv
1178;1;2019-02-28;DÃ©bito em conta;104 - CAIXA ECONOMICA FEDERAL S/A;0415-4 - CRICIUMA;32-4      ; ;3364.32; ; ;pagamentos_01748746-87fe-4647-ac1a-32388076b724.csv
5461;1;2019-06-27;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;8.569-3   ; ;525; ; ;pagamentos_017568c6-76a7-41af-b6c6-0a58f0138628.csv
336;1;2019-02-11;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;495; ; ;pagamentos_01760901-e78e-4869-ab52-9ca1efdf8018.csv
4620;1;2019-06-26;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;19.045-4; ;70529.11; ; ;pagamentos_018be5c9-266c-4e87-9dcb-97068345ddfe.csv
3441;1;2019-08-06; ; ; ; ; ;37.19; ;retencoesPagamento_3f71b7e0-7395-4423-96cf-5a71c3a1834e.csv;pagamentos_018e22b5-33b1-48f3-ab9a-20264cfe4389.csv
3441;1;2019-08-19;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;1025.29; ; ;pagamentos_018e22b5-33b1-48f3-ab9a-20264cfe4389.csv
5298;1;2019-11-18; ; ; ; ; ;37.88; ;retencoesPagamento_81099c04-2af1-43ca-a1d9-8e3f5113cc75.csv;pagamentos_018e22b5-33b1-48f3-ab9a-20264cfe4389.csv
5298;1;2019-12-16;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;1044.44; ; ;pagamentos_018e22b5-33b1-48f3-ab9a-20264cfe4389.csv
5302;1;2019-12-16;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;584.2; ; ;pagamentos_018e22b5-33b1-48f3-ab9a-20264cfe4389.csv
5918;1;2019-12-10; ; ; ; ; ;37.88; ;retencoesPagamento_02e6defe-34e9-4202-9f99-b300534bf7ad.csv;pagamentos_018e22b5-33b1-48f3-ab9a-20264cfe4389.csv
5918;1;2019-12-20;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;1044.44; ; ;pagamentos_018e22b5-33b1-48f3-ab9a-20264cfe4389.csv
