idLiquidacao;data;parcela;valor;valorRestosNaoProcessados;anulacoesLiquidacao;retencoesLiquidacao;origem_arquivo
4438;2019-06-03;1;560;0; ; ;liquidacoes_8f80b23c-cc4d-440b-b669-da85bd75de60.csv
4325;2019-09-30;1;8197;0; ; ;liquidacoes_8f817ae1-f5b6-42cd-a687-24447e21a4f9.csv
2150;2019-03-22;1;19263.02;0; ; ;liquidacoes_8f8313eb-f017-47f5-ba7c-edd1e34ef5bd.csv
5511;2019-06-27;1;1244.42;0; ;retencoesLiquidacao_71af3dc2-b9e6-4a81-8498-e005fd699c7c.csv;liquidacoes_8f84849c-6340-43e6-9fef-80d2eece3f1a.csv
11746;2019-12-31;1;14185.5;0; ; ;liquidacoes_8f8532f0-3d4d-48bb-9483-b839502f7809.csv
9209;2019-10-16;1;6429.82;0; ; ;liquidacoes_8f8826b7-c614-4e71-96e0-f75729d14a66.csv
9883;2019-10-30;1;46225.66;0; ; ;liquidacoes_8f935e65-3df9-4bdc-96ad-aad848d6386d.csv
5134;2019-11-20;1;632.2;0; ; ;liquidacoes_8f9a4da6-bb17-4966-8237-4ecca388ac93.csv
4118;2019-09-12;1;5133.13;0; ; ;liquidacoes_8f9d7738-2019-41f5-80cc-67ce4a732331.csv
3881;2019-05-16;1;79.79;0;anulacoesLiquidacao_d18c8d51-6e77-42b9-895a-19d7863e1233.csv; ;liquidacoes_8fa91527-e68c-48ae-83b6-244f86b643b4.csv
5631;2019-12-02;1;212.8;0; ;retencoesLiquidacao_0439e8ff-77d0-46fd-a5e4-adf3cd5c9c16.csv;liquidacoes_8fae957c-87c0-42ce-bcd0-d38124f59711.csv
280;2019-01-31;1;2765.11;0; ;retencoesLiquidacao_e6c3ed9d-4d28-4f6a-84fe-ae516f68a8a4.csv;liquidacoes_8fb0eb5a-8dff-4d96-9e0f-17b0abc65774.csv
3501;2019-05-06;1;322.43;0; ; ;liquidacoes_8fb96088-9914-47eb-a5d4-0c134d236493.csv
7396;2019-08-30;1;2466.73;0; ; ;liquidacoes_8fbdab3f-1134-40ea-a818-8f6741ab50a8.csv
11506;2019-12-19;1;79.79;0; ; ;liquidacoes_8fc84c9e-ccd1-42eb-b559-4296336188f9.csv
8540;2019-09-26;1;31181.09;0; ;retencoesLiquidacao_41b617f0-0454-410e-81c9-752b79026387.csv;liquidacoes_8fd2e563-533f-44fe-aa92-072d97461d68.csv
3340;2019-04-08;1;112.46;0; ; ;liquidacoes_8fd4dbc1-6c84-4b60-8797-62fc3e772312.csv
3092;2019-04-24;1;1274;0; ; ;liquidacoes_8fd5938c-a568-44db-b9e4-ba37e27b2c3f.csv
1544;2019-02-28;1;85441.69;0; ; ;liquidacoes_8fd6e97a-4332-4ea1-9340-49443000fd6f.csv
109;2019-07-15;1;400;0; ; ;liquidacoes_8fddd2e7-1046-481d-b51f-163405502824.csv
122;2019-08-12;1;400;0; ; ;liquidacoes_8fddd2e7-1046-481d-b51f-163405502824.csv
146;2019-09-13;1;400;0; ; ;liquidacoes_8fddd2e7-1046-481d-b51f-163405502824.csv
89;2019-06-21;1;400;0; ; ;liquidacoes_8fddd2e7-1046-481d-b51f-163405502824.csv
151;2019-09-24;1;400;0; ; ;liquidacoes_8fddd2e7-1046-481d-b51f-163405502824.csv
179;2019-11-11;1;400;0; ; ;liquidacoes_8fddd2e7-1046-481d-b51f-163405502824.csv
