cnpjCpfVencedor;codigo;descricao;numero;participanteVencedor;quantidade;unidadeMedida;valorTotalReferencia;valorTotalVencedor;valorUnitarioReferencia;valorUnitarioVencedor;origem_arquivo
00.444.086/0001-41;0;;2752;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;195.49;173.96;195.49;173.96;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2753;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;1865.59;1668.06;1865.59;1668.06;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2754;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;387.01;345.94;387.01;345.94;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2755;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;411.82;366.81;411.82;366.81;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2756;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;1153.09;1030.86;1153.09;1030.86;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2757;PERKSON-PECAS E EQUIPAMENTOS LTDA.;2.0;;192.52;170.98;96.26;85.49;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2758;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;262.97;233.61;262.97;233.61;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2759;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;450.52;402.6;450.52;402.6;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2760;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;778.98;695.85;778.98;695.85;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2761;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;506.09;452.3;506.09;452.3;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2762;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;742.27;663.05;742.27;663.05;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2763;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;473.34;422.48;473.34;422.48;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2764;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;603.34;538.79;603.34;538.79;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2765;PERKSON-PECAS E EQUIPAMENTOS LTDA.;2.0;;635.1;566.62;317.55;283.31;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2766;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;1079.66;965.25;1079.66;965.25;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2767;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;481.28;429.44;481.28;429.44;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2768;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;1296.98;1159.09;1296.98;1159.09;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2769;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;2149.39;1922.54;2149.39;1922.54;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2770;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;2149.39;1922.54;2149.39;1922.54;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2771;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;2028.33;1814.19;2028.33;1814.19;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2772;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;2028.33;1814.19;2028.33;1814.19;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2773;PERKSON-PECAS E EQUIPAMENTOS LTDA.;2.0;;563.64;501.02;281.82;250.51;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2774;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;1182.86;1056.7;1182.86;1056.7;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2775;PERKSON-PECAS E EQUIPAMENTOS LTDA.;2.0;;2699.14;2413.62;1349.57;1206.81;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2776;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;909.97;813.15;909.97;813.15;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2777;PERKSON-PECAS E EQUIPAMENTOS LTDA.;2.0;;768.06;685.92;384.03;342.96;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2778;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;589.45;526.86;589.45;526.86;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2779;PERKSON-PECAS E EQUIPAMENTOS LTDA.;6.0;;1256.28;1121.34;209.38;186.89;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2780;PERKSON-PECAS E EQUIPAMENTOS LTDA.;6.0;;637.08;566.64;106.18;94.44;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2781;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;418.76;373.77;418.76;373.77;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2782;PERKSON-PECAS E EQUIPAMENTOS LTDA.;2.0;;166.72;147.12;83.36;73.56;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2783;PERKSON-PECAS E EQUIPAMENTOS LTDA.;1.0;;687.69;614.34;687.69;614.34;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
00.444.086/0001-41;0;;2784;PERKSON-PECAS E EQUIPAMENTOS LTDA.;50.0;;5833.5;5119.5;116.67;102.39;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;328;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;97.48;87.62;97.48;87.62;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;329;TRATORMAX COMERCIO DE PECAS LTDA;3.0;;500.73;450.09;166.91;150.03;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;330;TRATORMAX COMERCIO DE PECAS LTDA;3.0;;472.38;424.59;157.46;141.53;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;331;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;393.89;354.05;393.89;354.05;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;332;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;787.76;708.08;196.94;177.02;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;333;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;313.92;282.16;78.48;70.54;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;334;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;217.83;195.8;217.83;195.8;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;335;TRATORMAX COMERCIO DE PECAS LTDA;5.0;;496.85;446.6;99.37;89.32;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;336;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;682.34;613.32;682.34;613.32;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;337;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;704.24;633.0;176.06;158.25;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;338;TRATORMAX COMERCIO DE PECAS LTDA;5.0;;1482.05;1332.1;296.41;266.42;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;339;TRATORMAX COMERCIO DE PECAS LTDA;5.0;;591.85;532.0;118.37;106.4;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;340;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;564.98;507.84;282.49;253.92;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;341;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;983.73;884.21;983.73;884.21;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;342;TRATORMAX COMERCIO DE PECAS LTDA;5.0;;871.35;783.25;174.27;156.65;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;343;TRATORMAX COMERCIO DE PECAS LTDA;5.0;;986.2;886.45;197.24;177.29;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;344;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;2576.49;2315.86;2576.49;2315.86;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;345;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;925.04;831.46;462.52;415.73;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;346;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;1581.52;1421.53;1581.52;1421.53;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;347;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;526.76;473.48;131.69;118.37;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;348;TRATORMAX COMERCIO DE PECAS LTDA;10.0;;974.8;876.2;97.48;87.62;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;349;TRATORMAX COMERCIO DE PECAS LTDA;5.0;;736.05;661.6;147.21;132.32;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;350;TRATORMAX COMERCIO DE PECAS LTDA;5.0;;840.5;755.45;168.1;151.09;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;351;TRATORMAX COMERCIO DE PECAS LTDA;5.0;;1382.6;1242.7;276.52;248.54;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;352;TRATORMAX COMERCIO DE PECAS LTDA;5.0;;1312.95;1180.15;262.59;236.03;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;353;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;1472.11;1323.19;1472.11;1323.19;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;354;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;787.78;708.1;393.89;354.05;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;355;TRATORMAX COMERCIO DE PECAS LTDA;5.0;;976.25;877.5;195.25;175.5;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;356;TRATORMAX COMERCIO DE PECAS LTDA;3.0;;528.18;474.75;176.06;158.25;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;357;TRATORMAX COMERCIO DE PECAS LTDA;100.0;;11667.0;10487.0;116.67;104.87;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;756;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;3126.21;2824.31;3126.21;2824.31;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;757;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;481.0;434.44;120.25;108.61;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;758;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;129.46;116.94;64.73;58.47;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;759;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;124.68;112.58;62.34;56.29;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;760;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;577.46;521.7;577.46;521.7;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;761;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;1212.49;1095.41;1212.49;1095.41;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;762;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;666.54;602.21;666.54;602.21;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;763;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;216.6;195.78;108.3;97.89;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;764;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;4056.8;3664.88;2028.4;1832.44;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;765;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;283.96;256.52;141.98;128.26;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;766;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;290.1;262.08;145.05;131.04;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;767;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;529.24;478.12;132.31;119.53;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;768;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;101.02;91.34;50.51;45.67;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;769;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;1520.56;1373.78;760.28;686.89;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;770;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;5726.4;5173.28;2863.2;2586.64;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;771;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;262.56;237.08;65.64;59.27;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;772;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;192.52;173.92;48.13;43.48;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;773;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;433.2;391.56;108.3;97.89;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;774;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;1250.92;1130.16;312.73;282.54;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;775;TRATORMAX COMERCIO DE PECAS LTDA;3.0;;938.19;847.62;312.73;282.54;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;776;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;1106.64;999.92;276.66;249.98;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;777;TRATORMAX COMERCIO DE PECAS LTDA;8.0;;430.48;389.2;53.81;48.65;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;778;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;6642.88;6001.44;1660.72;1500.36;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;779;TRATORMAX COMERCIO DE PECAS LTDA;8.0;;392.64;355.04;49.08;44.38;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;780;TRATORMAX COMERCIO DE PECAS LTDA;6.0;;164.52;148.92;27.42;24.82;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;781;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;466.88;421.72;116.72;105.43;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;782;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;2755.34;2489.25;2755.34;2489.25;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;783;TRATORMAX COMERCIO DE PECAS LTDA;6.0;;147.42;133.44;24.57;22.24;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;784;TRATORMAX COMERCIO DE PECAS LTDA;6.0;;234.84;212.04;39.14;35.34;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;785;TRATORMAX COMERCIO DE PECAS LTDA;6.0;;272.28;246.0;45.38;41.0;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;786;TRATORMAX COMERCIO DE PECAS LTDA;6.0;;207.54;187.62;34.59;31.27;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;787;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;672.56;607.56;168.14;151.89;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;788;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;611.12;551.96;152.78;137.99;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;789;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;223.32;201.72;111.66;100.86;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;790;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;205.02;185.24;102.51;92.62;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;791;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;482.12;435.62;241.06;217.81;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;792;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;962.44;869.46;481.22;434.73;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;793;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;1867.08;1686.7;933.54;843.35;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;794;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;231.16;208.88;115.58;104.44;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;795;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;747.88;675.68;373.94;337.84;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;796;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;698.28;630.8;349.14;315.4;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;797;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;4065.89;3673.22;4065.89;3673.22;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;798;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;3079.35;2781.72;3079.35;2781.72;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;799;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;3079.45;2781.72;3079.45;2781.72;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;800;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;1992.24;1799.68;498.06;449.92;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;801;TRATORMAX COMERCIO DE PECAS LTDA;6.0;;2135.1;1928.76;355.85;321.46;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;802;TRATORMAX COMERCIO DE PECAS LTDA;6.0;;406.86;367.5;67.81;61.25;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;803;TRATORMAX COMERCIO DE PECAS LTDA;3.0;;996.57;900.33;332.19;300.11;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;804;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;3464.77;3130.08;3464.77;3130.08;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;805;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;4042.68;3652.18;2021.34;1826.09;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;806;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;329.57;297.73;329.57;297.73;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;807;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;1106.8;999.71;1106.8;999.71;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;808;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;567.85;512.96;567.85;512.96;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;809;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;880.65;795.6;880.65;795.6;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;810;TRATORMAX COMERCIO DE PECAS LTDA;3.0;;2915.97;2634.3;971.99;878.1;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;811;TRATORMAX COMERCIO DE PECAS LTDA;3.0;;938.19;847.62;312.73;282.54;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;812;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;8363.62;7555.72;4181.81;3777.86;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;813;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;2502.36;2261.52;1251.18;1130.76;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;814;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;3235.42;2922.7;1617.71;1461.35;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;815;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;1741.92;1573.72;870.96;786.86;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;816;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;3226.34;2914.76;1613.17;1457.38;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;817;TRATORMAX COMERCIO DE PECAS LTDA;200.0;;23334.0;21046.0;116.67;105.23;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1057;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;20.86;18.92;10.43;9.46;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1058;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;16.0;14.54;8.0;7.27;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1059;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;124.94;113.14;62.47;56.57;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1060;TRATORMAX COMERCIO DE PECAS LTDA;8.0;;103.2;91.6;12.9;11.45;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1061;TRATORMAX COMERCIO DE PECAS LTDA;20.0;;446.2;398.4;22.31;19.92;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1062;TRATORMAX COMERCIO DE PECAS LTDA;20.0;;69.6;63.8;3.48;3.19;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1063;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;190.16;171.28;47.54;42.82;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1064;TRATORMAX COMERCIO DE PECAS LTDA;4.0;;153.28;137.44;38.32;34.36;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1065;TRATORMAX COMERCIO DE PECAS LTDA;10.0;;256.2;232.0;25.62;23.2;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1066;TRATORMAX COMERCIO DE PECAS LTDA;8.0;;244.8;219.92;30.6;27.49;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1067;TRATORMAX COMERCIO DE PECAS LTDA;10.0;;72.6;65.7;7.26;6.57;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1068;TRATORMAX COMERCIO DE PECAS LTDA;2.0;;12.56;11.36;6.28;5.68;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1069;TRATORMAX COMERCIO DE PECAS LTDA;8.0;;205.28;186.4;25.66;23.3;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1070;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;293.46;265.9;293.46;265.9;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
01.780.703/0001-42;0;;1071;TRATORMAX COMERCIO DE PECAS LTDA;1.0;;423.53;383.42;423.53;383.42;itensVencedores_73cb4542-a39b-4988-9f4a-4bac6d216500.csv
