descricao;idItem;numero;quantidade;situacao;unidadeMedida;valorTotal;valorUnitario;origem_arquivo
Ponta de ultrasson E5;1265037;435;10;ATIVO;UNIDADE;1323.0;132.3;itens_b9eaf61e-9cbf-4b2b-b6c2-e0b011bdf12a.csv
Ponta de ultrasson E4D;1265079;436;10;ATIVO;UNIDADE;1722.0;172.2;itens_b9eaf61e-9cbf-4b2b-b6c2-e0b011bdf12a.csv
Ponta de ultrasson E1;1265112;437;15;ATIVO;UNIDADE;1984.5;132.3;itens_b9eaf61e-9cbf-4b2b-b6c2-e0b011bdf12a.csv
CÃ¢mara Escura Para RevelaÃ§Ã£o;1265113;442;3;ATIVO;UNIDADE;450.45;150.15;itens_b9eaf61e-9cbf-4b2b-b6c2-e0b011bdf12a.csv
COLORÃFICO - NA CENTRAL;1310921;25;2648;ATIVO;kg;14087.36;5.32;itens_bc0bc520-dd91-4c58-8416-88c111cef577.csv
MACARRÃO DE SÃMOLA, FORMATO CABELINHO DE ANJO OU NINHO;1310928;50;11;ATIVO;kg;53.02;4.82;itens_bc0bc520-dd91-4c58-8416-88c111cef577.csv
Mesa ginecolÃ³gica elÃ©trica;1265776;13;2;ATIVO;UNIDADE;25000.0;12500.0;itens_bcebbbca-18d5-49ba-b76d-bd404e7cc93d.csv
Agua oxigenada 10% (perÃ³xido de hidrogÃªnio).;1264679;1;600;ATIVO;UNIDADE;2304.0;3.84;itens_bd65b2f2-3fe1-455f-82d2-0b55a3f0614e.csv
Ãlcool etÃ­lico 70Â° antissÃ©ptico;1264693;3;1000;ATIVO;FRASCO;3860.0;3.86;itens_bd65b2f2-3fe1-455f-82d2-0b55a3f0614e.csv
Bloco de concreto sextavado com 30 x 30 x 10 cm (C x L x E),;1308458;3;8260;ATIVO;METRO QUADRADO;339486.0;41.1;itens_bdc6ec9c-c262-42ba-ba42-55d17042837e.csv
Bloco de concreto modelo paver/tijolinho, com 20 x 10 x 6 cm;1310479;5;1000;ATIVO;METRO QUADRADO;30650.0;30.65;itens_bdc6ec9c-c262-42ba-ba42-55d17042837e.csv
TermÃ´metro Digital de mÃ¡xima e mÃ­nima com cabo extensor;1265784;64;8;ATIVO;UNIDADE;382.4;47.8;itens_be2a2f0d-1e84-4893-94d0-93a44869fe4f.csv
Lixeiras de plÃ¡stico liso, com tampa e pedal 8 a 10 litros;1265785;58;40;ATIVO;UNIDADE;960.0;24.0;itens_be2a2f0d-1e84-4893-94d0-93a44869fe4f.csv
Lixeira cilÃ­ndrica 15 litros, com pedal;1265786;11;40;ATIVO;UNIDADE;3240.0;81.0;itens_be2a2f0d-1e84-4893-94d0-93a44869fe4f.csv
Lixeira em polietileno de alta densidade (PEAD) ou Polipropi;1265808;72;1;ATIVO;CONJUNTO;575.0;575.0;itens_be2a2f0d-1e84-4893-94d0-93a44869fe4f.csv
DIVISOR/DERIVANTE EM ALUMÃNIO DE 2 Â½ POLEGADAS C/ 2 SAÃDAS;1298212;7;2;ATIVO;UNIDADE;5414.0;2707.0;itens_bf14ddb6-4d2c-4532-bf0e-62e00557bfbd.csv
ESGUICHO AUTOMÃTICO 20 E 95 GPM;1298213;8;2;ATIVO;UNIDADE;6000.0;3000.0;itens_bf14ddb6-4d2c-4532-bf0e-62e00557bfbd.csv
BOTA COMBATE A INCÃNDIO;1300290;27;30;ATIVO;PAR;23970.0;799.0;itens_bf14ddb6-4d2c-4532-bf0e-62e00557bfbd.csv
ESGUICHO AUTOMÃTICO PARA ESPUMA;1308447;11;1;ATIVO;UNIDADE;3300.0;3300.0;itens_bf14ddb6-4d2c-4532-bf0e-62e00557bfbd.csv
CAPACETE PARA CORTE DE ÃRVORE;1316695;30;4;ATIVO;UNIDADE;1600.0;400.0;itens_bf14ddb6-4d2c-4532-bf0e-62e00557bfbd.csv
