descricao;id;quantidade;situacao;unidadeMedida;valorTotal;valorUnitario;origem_arquivo
Eletrodo tipo bola 4,0x70mm para bisturi elÃ©trico;4443155;2;VENCEU;UN;180;90;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Eletrodo tipo baioneta - bola 4,5x180mm para bisturi elÃ©tric;4443156;2;VENCEU;UN;180;90;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Especulo tamanho M para aspirador de vapores modelo Wavevac;4443157;4;VENCEU;UN;1144.6;286.15;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Chave tipo alavanca on/off 20A 250V;4443158;2;VENCEU;UN;126;63;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Bocal de porcelana 220V E-27;4443159;10;VENCEU;UN;100;10;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Rolamento 6200;4443160;6;VENCEU;UN;203.7;33.95;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Chave tipo alavanca on/off 10A 250V;4443161;4;VENCEU;UN;244;61;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Plug 2P+T 10A 250V;4443162;20;VENCEU;UN;291;14.55;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
kit vÃ¡lvula para nebulizador Olidef;4443163;5;VENCEU;UN;363.75;72.75;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Chave micro interruptor 20A;4443164;4;VENCEU;UN;112;28;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Alto falante 8 ohms - 5W;4443165;2;VENCEU;UN;35.8;17.9;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Tampa do cabeÃ§ote para nebulizador Olidef / Inalamed;4443166;4;VENCEU;UN;939;234.75;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
